f1,f2,f3,f4,f5,f6,f7,f8,g
usual,proper,complete,2,convenient,convenient,slightly_prob,priority,priority
usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,2,convenient,convenient,problematic,recommended,priority
usual,proper,complete,2,convenient,convenient,problematic,priority,priority
usual,proper,complete,2,convenient,convenient,problematic,not_recom,not_recom
usual,proper,complete,2,convenient,inconv,nonprob,recommended,very_recom
usual,proper,complete,2,convenient,inconv,nonprob,priority,priority
usual,proper,complete,2,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,complete,2,convenient,inconv,slightly_prob,recommended,very_recom
usual,proper,complete,2,convenient,inconv,slightly_prob,priority,priority
usual,proper,complete,2,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,2,convenient,inconv,problematic,recommended,priority
usual,proper,complete,2,convenient,inconv,problematic,priority,priority
usual,proper,complete,2,convenient,inconv,problematic,not_recom,not_recom
usual,proper,complete,2,less_conv,convenient,nonprob,recommended,very_recom
usual,proper,complete,2,less_conv,convenient,nonprob,priority,priority
usual,proper,complete,2,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,complete,2,less_conv,convenient,slightly_prob,recommended,very_recom
usual,proper,complete,2,less_conv,convenient,slightly_prob,priority,priority
usual,proper,complete,2,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,2,less_conv,convenient,problematic,recommended,priority
usual,proper,complete,2,less_conv,convenient,problematic,priority,priority
usual,proper,complete,2,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,complete,2,less_conv,inconv,nonprob,recommended,very_recom
usual,proper,complete,2,less_conv,inconv,nonprob,priority,priority
usual,proper,complete,2,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,complete,2,less_conv,inconv,slightly_prob,recommended,very_recom
usual,proper,complete,2,less_conv,inconv,slightly_prob,priority,priority
usual,proper,complete,2,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,2,less_conv,inconv,problematic,recommended,priority
usual,proper,complete,2,less_conv,inconv,problematic,priority,priority
usual,proper,complete,2,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,complete,2,critical,convenient,nonprob,recommended,priority
usual,proper,complete,2,critical,convenient,nonprob,priority,priority
usual,proper,complete,2,critical,convenient,nonprob,not_recom,not_recom
usual,proper,complete,2,critical,convenient,slightly_prob,recommended,priority
usual,proper,complete,2,critical,convenient,slightly_prob,priority,priority
usual,proper,complete,2,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,2,critical,convenient,problematic,recommended,priority
usual,proper,complete,2,critical,convenient,problematic,priority,priority
usual,proper,complete,2,critical,convenient,problematic,not_recom,not_recom
usual,proper,complete,2,critical,inconv,nonprob,recommended,priority
usual,proper,complete,2,critical,inconv,nonprob,priority,priority
usual,proper,complete,2,critical,inconv,nonprob,not_recom,not_recom
usual,proper,complete,2,critical,inconv,slightly_prob,recommended,priority
usual,proper,complete,2,critical,inconv,slightly_prob,priority,priority
usual,proper,complete,2,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,2,critical,inconv,problematic,recommended,priority
usual,proper,complete,2,critical,inconv,problematic,priority,priority
usual,proper,complete,2,critical,inconv,problematic,not_recom,not_recom
usual,proper,complete,3,convenient,convenient,nonprob,recommended,very_recom
usual,proper,complete,3,convenient,convenient,nonprob,priority,priority
usual,proper,complete,3,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,complete,3,convenient,convenient,slightly_prob,recommended,very_recom
usual,proper,complete,3,convenient,convenient,slightly_prob,priority,priority
usual,proper,complete,3,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,3,convenient,convenient,problematic,recommended,priority
usual,proper,complete,3,convenient,convenient,problematic,priority,priority
usual,proper,complete,3,convenient,convenient,problematic,not_recom,not_recom
usual,proper,complete,3,convenient,inconv,nonprob,recommended,priority
usual,proper,complete,3,convenient,inconv,nonprob,priority,priority
usual,proper,complete,3,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,complete,3,convenient,inconv,slightly_prob,recommended,priority
usual,proper,complete,3,convenient,inconv,slightly_prob,priority,priority
usual,proper,complete,3,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,3,convenient,inconv,problematic,recommended,priority
usual,proper,complete,3,convenient,inconv,problematic,priority,priority
usual,proper,complete,3,convenient,inconv,problematic,not_recom,not_recom
usual,proper,complete,3,less_conv,convenient,nonprob,recommended,priority
usual,proper,complete,3,less_conv,convenient,nonprob,priority,priority
usual,proper,complete,3,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,complete,3,less_conv,convenient,slightly_prob,recommended,priority
usual,proper,complete,3,less_conv,convenient,slightly_prob,priority,priority
usual,proper,complete,3,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,3,less_conv,convenient,problematic,recommended,priority
usual,proper,complete,3,less_conv,convenient,problematic,priority,priority
usual,proper,complete,3,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,complete,3,less_conv,inconv,nonprob,recommended,priority
usual,proper,complete,3,less_conv,inconv,nonprob,priority,priority
usual,proper,complete,3,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,complete,3,less_conv,inconv,slightly_prob,recommended,priority
usual,proper,complete,3,less_conv,inconv,slightly_prob,priority,priority
usual,proper,complete,3,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,3,less_conv,inconv,problematic,recommended,priority
usual,proper,complete,3,less_conv,inconv,problematic,priority,priority
usual,proper,complete,3,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,complete,3,critical,convenient,nonprob,recommended,priority
usual,proper,complete,3,critical,convenient,nonprob,priority,priority
usual,proper,complete,3,critical,convenient,nonprob,not_recom,not_recom
usual,proper,complete,3,critical,convenient,slightly_prob,recommended,priority
usual,proper,complete,3,critical,convenient,slightly_prob,priority,priority
usual,proper,complete,3,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,3,critical,convenient,problematic,recommended,priority
usual,proper,complete,3,critical,convenient,problematic,priority,priority
usual,proper,complete,3,critical,convenient,problematic,not_recom,not_recom
usual,proper,complete,3,critical,inconv,nonprob,recommended,priority
usual,proper,complete,3,critical,inconv,nonprob,priority,priority
usual,proper,complete,3,critical,inconv,nonprob,not_recom,not_recom
usual,proper,complete,3,critical,inconv,slightly_prob,recommended,priority
usual,proper,complete,3,critical,inconv,slightly_prob,priority,priority
usual,proper,complete,3,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,3,critical,inconv,problematic,recommended,priority
usual,proper,complete,3,critical,inconv,problematic,priority,priority
usual,proper,complete,3,critical,inconv,problematic,not_recom,not_recom
usual,proper,completed,1,convenient,convenient,nonprob,recommended,very_recom
usual,proper,completed,1,convenient,convenient,nonprob,priority,priority
usual,proper,completed,1,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,completed,1,convenient,convenient,slightly_prob,recommended,very_recom
usual,proper,completed,1,convenient,convenient,slightly_prob,priority,priority
usual,proper,completed,1,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,1,convenient,convenient,problematic,recommended,priority
usual,proper,completed,1,convenient,convenient,problematic,priority,priority
usual,proper,completed,1,convenient,convenient,problematic,not_recom,not_recom
usual,proper,completed,1,convenient,inconv,nonprob,recommended,very_recom
usual,proper,completed,1,convenient,inconv,nonprob,priority,priority
usual,proper,completed,1,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,completed,1,convenient,inconv,slightly_prob,recommended,very_recom
usual,proper,completed,1,convenient,inconv,slightly_prob,priority,priority
usual,proper,completed,1,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,1,convenient,inconv,problematic,recommended,priority
usual,proper,completed,1,convenient,inconv,problematic,priority,priority
usual,proper,completed,1,convenient,inconv,problematic,not_recom,not_recom
usual,proper,completed,1,less_conv,convenient,nonprob,recommended,very_recom
usual,proper,completed,1,less_conv,convenient,nonprob,priority,priority
usual,proper,completed,1,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,completed,1,less_conv,convenient,slightly_prob,recommended,very_recom
usual,proper,completed,1,less_conv,convenient,slightly_prob,priority,priority
usual,proper,completed,1,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,1,less_conv,convenient,problematic,recommended,priority
usual,proper,completed,1,less_conv,convenient,problematic,priority,priority
usual,proper,completed,1,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,completed,1,less_conv,inconv,nonprob,recommended,very_recom
usual,proper,completed,1,less_conv,inconv,nonprob,priority,priority
usual,proper,completed,1,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,completed,1,less_conv,inconv,slightly_prob,recommended,very_recom
usual,proper,completed,1,less_conv,inconv,slightly_prob,priority,priority
usual,proper,completed,1,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,1,less_conv,inconv,problematic,recommended,priority
usual,proper,completed,1,less_conv,inconv,problematic,priority,priority
usual,proper,completed,1,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,completed,1,critical,convenient,nonprob,recommended,priority
usual,proper,completed,1,critical,convenient,nonprob,priority,priority
usual,proper,completed,1,critical,convenient,nonprob,not_recom,not_recom
usual,proper,completed,1,critical,convenient,slightly_prob,recommended,priority
usual,proper,completed,1,critical,convenient,slightly_prob,priority,priority
usual,proper,completed,1,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,1,critical,convenient,problematic,recommended,priority
usual,proper,completed,1,critical,convenient,problematic,priority,priority
usual,proper,completed,1,critical,convenient,problematic,not_recom,not_recom
usual,proper,completed,1,critical,inconv,nonprob,recommended,priority
usual,proper,completed,1,critical,inconv,nonprob,priority,priority
usual,proper,completed,1,critical,inconv,nonprob,not_recom,not_recom
usual,proper,completed,1,critical,inconv,slightly_prob,recommended,priority
usual,proper,completed,1,critical,inconv,slightly_prob,priority,priority
usual,proper,completed,1,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,1,critical,inconv,problematic,recommended,priority
usual,proper,completed,1,critical,inconv,problematic,priority,priority
usual,proper,completed,1,critical,inconv,problematic,not_recom,not_recom
usual,proper,completed,2,convenient,convenient,nonprob,recommended,very_recom
usual,proper,completed,2,convenient,convenient,nonprob,priority,priority
usual,proper,completed,2,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,completed,2,convenient,convenient,slightly_prob,recommended,very_recom
usual,proper,completed,2,convenient,convenient,slightly_prob,priority,priority
usual,proper,completed,2,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,2,convenient,convenient,problematic,recommended,priority
usual,proper,completed,2,convenient,convenient,problematic,priority,priority
usual,proper,completed,2,convenient,convenient,problematic,not_recom,not_recom
usual,proper,completed,2,convenient,inconv,nonprob,recommended,very_recom
usual,proper,completed,2,convenient,inconv,nonprob,priority,priority
usual,proper,completed,2,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,completed,2,convenient,inconv,slightly_prob,recommended,very_recom
usual,proper,completed,2,convenient,inconv,slightly_prob,priority,priority
usual,proper,completed,2,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,2,convenient,inconv,problematic,recommended,priority
usual,proper,completed,2,convenient,inconv,problematic,priority,priority
usual,proper,completed,2,convenient,inconv,problematic,not_recom,not_recom
usual,proper,completed,2,less_conv,convenient,nonprob,recommended,very_recom
usual,proper,completed,2,less_conv,convenient,nonprob,priority,priority
usual,proper,completed,2,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,completed,2,less_conv,convenient,slightly_prob,recommended,very_recom
usual,proper,completed,2,less_conv,convenient,slightly_prob,priority,priority
usual,proper,completed,2,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,2,less_conv,convenient,problematic,recommended,priority
usual,proper,completed,2,less_conv,convenient,problematic,priority,priority
usual,proper,completed,2,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,completed,2,less_conv,inconv,nonprob,recommended,very_recom
usual,proper,completed,2,less_conv,inconv,nonprob,priority,priority
usual,proper,completed,2,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,completed,2,less_conv,inconv,slightly_prob,recommended,very_recom
usual,proper,completed,2,less_conv,inconv,slightly_prob,priority,priority
usual,proper,completed,2,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,2,less_conv,inconv,problematic,recommended,priority
usual,proper,completed,2,less_conv,inconv,problematic,priority,priority
usual,proper,completed,2,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,completed,2,critical,convenient,nonprob,recommended,priority
usual,proper,completed,2,critical,convenient,nonprob,priority,priority
usual,proper,completed,2,critical,convenient,nonprob,not_recom,not_recom
usual,proper,completed,2,critical,convenient,slightly_prob,recommended,priority
usual,proper,completed,2,critical,convenient,slightly_prob,priority,priority
usual,proper,completed,2,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,2,critical,convenient,problematic,recommended,priority
usual,proper,completed,2,critical,convenient,problematic,priority,priority
usual,proper,completed,2,critical,convenient,problematic,not_recom,not_recom
usual,proper,completed,2,critical,inconv,nonprob,recommended,priority
usual,proper,completed,2,critical,inconv,nonprob,priority,priority
usual,proper,completed,2,critical,inconv,nonprob,not_recom,not_recom
usual,proper,completed,2,critical,inconv,slightly_prob,recommended,priority
usual,proper,completed,2,critical,inconv,slightly_prob,priority,priority
usual,proper,completed,2,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,2,critical,inconv,problematic,recommended,priority
usual,proper,completed,2,critical,inconv,problematic,priority,priority
usual,proper,completed,2,critical,inconv,problematic,not_recom,not_recom
usual,proper,completed,3,convenient,convenient,nonprob,recommended,very_recom
usual,proper,completed,3,convenient,convenient,nonprob,priority,priority
usual,proper,completed,3,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,completed,3,convenient,convenient,slightly_prob,recommended,very_recom
usual,proper,completed,3,convenient,convenient,slightly_prob,priority,priority
usual,proper,completed,3,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,3,convenient,convenient,problematic,recommended,priority
usual,proper,completed,3,convenient,convenient,problematic,priority,priority
usual,proper,completed,3,convenient,convenient,problematic,not_recom,not_recom
usual,proper,completed,3,convenient,inconv,nonprob,recommended,priority
usual,proper,completed,3,convenient,inconv,nonprob,priority,priority
usual,proper,completed,3,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,completed,3,convenient,inconv,slightly_prob,recommended,priority
usual,proper,completed,3,convenient,inconv,slightly_prob,priority,priority
usual,proper,completed,3,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,3,convenient,inconv,problematic,recommended,priority
usual,proper,completed,3,convenient,inconv,problematic,priority,priority
usual,proper,completed,3,convenient,inconv,problematic,not_recom,not_recom
usual,proper,completed,3,less_conv,convenient,nonprob,recommended,priority
usual,proper,completed,3,less_conv,convenient,nonprob,priority,priority
usual,proper,completed,3,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,completed,3,less_conv,convenient,slightly_prob,recommended,priority
usual,proper,completed,3,less_conv,convenient,slightly_prob,priority,priority
usual,proper,completed,3,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,3,less_conv,convenient,problematic,recommended,priority
usual,proper,completed,3,less_conv,convenient,problematic,priority,priority
usual,proper,completed,3,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,completed,3,less_conv,inconv,nonprob,recommended,priority
usual,proper,completed,3,less_conv,inconv,nonprob,priority,priority
usual,proper,completed,3,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,completed,3,less_conv,inconv,slightly_prob,recommended,priority
usual,proper,completed,3,less_conv,inconv,slightly_prob,priority,priority
usual,proper,completed,3,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,3,less_conv,inconv,problematic,recommended,priority
usual,proper,completed,3,less_conv,inconv,problematic,priority,priority
usual,proper,completed,3,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,completed,3,critical,convenient,nonprob,recommended,priority
usual,proper,completed,3,critical,convenient,nonprob,priority,priority
usual,proper,completed,3,critical,convenient,nonprob,not_recom,not_recom
usual,proper,completed,3,critical,convenient,slightly_prob,recommended,priority
usual,proper,completed,3,critical,convenient,slightly_prob,priority,priority
usual,proper,completed,3,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,3,critical,convenient,problematic,recommended,priority
usual,proper,completed,3,critical,convenient,problematic,priority,priority
usual,proper,completed,3,critical,convenient,problematic,not_recom,not_recom
usual,proper,completed,3,critical,inconv,nonprob,recommended,priority
usual,proper,completed,3,critical,inconv,nonprob,priority,priority
usual,proper,completed,3,critical,inconv,nonprob,not_recom,not_recom
usual,proper,completed,3,critical,inconv,slightly_prob,recommended,priority
usual,proper,completed,3,critical,inconv,slightly_prob,priority,priority
usual,proper,completed,3,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,3,critical,inconv,problematic,recommended,priority
usual,proper,completed,3,critical,inconv,problematic,priority,priority
usual,proper,completed,3,critical,inconv,problematic,not_recom,not_recom
usual,proper,incomplete,1,convenient,convenient,nonprob,recommended,very_recom
usual,proper,incomplete,1,convenient,convenient,nonprob,priority,priority
usual,proper,incomplete,1,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,incomplete,1,convenient,convenient,slightly_prob,recommended,very_recom
usual,proper,incomplete,1,convenient,convenient,slightly_prob,priority,priority
usual,proper,incomplete,1,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,incomplete,1,convenient,convenient,problematic,recommended,priority
usual,proper,incomplete,1,convenient,convenient,problematic,priority,priority
usual,proper,incomplete,1,convenient,convenient,problematic,not_recom,not_recom
usual,proper,incomplete,1,convenient,inconv,nonprob,recommended,very_recom
usual,proper,incomplete,1,convenient,inconv,nonprob,priority,priority
usual,proper,incomplete,1,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,incomplete,1,convenient,inconv,slightly_prob,recommended,very_recom
usual,proper,incomplete,1,convenient,inconv,slightly_prob,priority,priority
usual,proper,incomplete,1,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,incomplete,1,convenient,inconv,problematic,recommended,priority
usual,proper,incomplete,1,convenient,inconv,problematic,priority,priority
usual,proper,incomplete,1,convenient,inconv,problematic,not_recom,not_recom
usual,proper,incomplete,1,less_conv,convenient,nonprob,recommended,very_recom
usual,proper,incomplete,1,less_conv,convenient,nonprob,priority,priority
usual,proper,incomplete,1,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,incomplete,1,less_conv,convenient,slightly_prob,recommended,very_recom
usual,proper,incomplete,1,less_conv,convenient,slightly_prob,priority,priority
usual,proper,incomplete,1,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,incomplete,1,less_conv,convenient,problematic,recommended,priority
usual,proper,incomplete,1,less_conv,convenient,problematic,priority,priority
usual,proper,incomplete,1,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,incomplete,1,less_conv,inconv,nonprob,recommended,very_recom
usual,proper,incomplete,1,less_conv,inconv,nonprob,priority,priority
usual,proper,incomplete,1,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,incomplete,1,less_conv,inconv,slightly_prob,recommended,very_recom
usual,proper,incomplete,1,less_conv,inconv,slightly_prob,priority,priority
usual,proper,incomplete,1,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,incomplete,1,less_conv,inconv,problematic,recommended,priority
usual,proper,incomplete,1,less_conv,inconv,problematic,priority,priority
usual,proper,incomplete,1,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,incomplete,1,critical,convenient,nonprob,recommended,priority
usual,proper,incomplete,1,critical,convenient,nonprob,priority,priority
usual,proper,incomplete,1,critical,convenient,nonprob,not_recom,not_recom
usual,proper,incomplete,1,critical,convenient,slightly_prob,recommended,priority
usual,proper,incomplete,1,critical,convenient,slightly_prob,priority,priority
usual,proper,incomplete,1,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,incomplete,1,critical,convenient,problematic,recommended,priority
usual,proper,incomplete,1,critical,convenient,problematic,priority,priority
usual,proper,incomplete,1,critical,convenient,problematic,not_recom,not_recom
usual,proper,incomplete,1,critical,inconv,nonprob,recommended,priority
usual,proper,incomplete,1,critical,inconv,nonprob,priority,priority
usual,proper,incomplete,1,critical,inconv,nonprob,not_recom,not_recom
usual,proper,incomplete,1,critical,inconv,slightly_prob,recommended,priority
usual,proper,incomplete,1,critical,inconv,slightly_prob,priority,priority
usual,proper,incomplete,1,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,incomplete,1,critical,inconv,problematic,recommended,priority
usual,proper,incomplete,1,critical,inconv,problematic,priority,priority
usual,proper,incomplete,1,critical,inconv,problematic,not_recom,not_recom
usual,proper,incomplete,2,convenient,convenient,nonprob,recommended,very_recom
usual,proper,incomplete,2,convenient,convenient,nonprob,priority,priority
usual,proper,incomplete,2,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,incomplete,2,convenient,convenient,slightly_prob,recommended,very_recom
usual,proper,incomplete,2,convenient,convenient,slightly_prob,priority,priority
usual,proper,incomplete,2,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,incomplete,2,convenient,convenient,problematic,recommended,priority
usual,proper,incomplete,2,convenient,convenient,problematic,priority,priority
usual,proper,incomplete,2,convenient,convenient,problematic,not_recom,not_recom
usual,proper,incomplete,2,convenient,inconv,nonprob,recommended,priority
usual,proper,incomplete,2,convenient,inconv,nonprob,priority,priority
usual,proper,incomplete,2,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,incomplete,2,convenient,inconv,slightly_prob,recommended,priority
usual,proper,incomplete,2,convenient,inconv,slightly_prob,priority,priority
usual,proper,incomplete,2,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,incomplete,2,convenient,inconv,problematic,recommended,priority
usual,proper,incomplete,2,convenient,inconv,problematic,priority,priority
usual,proper,incomplete,2,convenient,inconv,problematic,not_recom,not_recom
usual,proper,incomplete,2,less_conv,convenient,nonprob,recommended,priority
usual,proper,incomplete,2,less_conv,convenient,nonprob,priority,priority
usual,proper,incomplete,2,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,incomplete,2,less_conv,convenient,slightly_prob,recommended,priority
usual,proper,incomplete,2,less_conv,convenient,slightly_prob,priority,priority
usual,proper,incomplete,2,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,incomplete,2,less_conv,convenient,problematic,recommended,priority
usual,proper,incomplete,2,less_conv,convenient,problematic,priority,priority
usual,proper,incomplete,2,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,incomplete,2,less_conv,inconv,nonprob,recommended,priority
usual,proper,incomplete,2,less_conv,inconv,nonprob,priority,priority
usual,proper,incomplete,2,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,incomplete,2,less_conv,inconv,slightly_prob,recommended,priority
usual,proper,incomplete,2,less_conv,inconv,slightly_prob,priority,priority
usual,proper,incomplete,2,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,incomplete,2,less_conv,inconv,problematic,recommended,priority
usual,proper,incomplete,2,less_conv,inconv,problematic,priority,priority
usual,proper,incomplete,2,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,incomplete,2,critical,convenient,nonprob,recommended,priority
usual,proper,incomplete,2,critical,convenient,nonprob,priority,priority
usual,proper,incomplete,2,critical,convenient,nonprob,not_recom,not_recom
usual,proper,incomplete,2,critical,convenient,slightly_prob,recommended,priority
usual,proper,incomplete,2,critical,convenient,slightly_prob,priority,priority
usual,proper,incomplete,2,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,incomplete,2,critical,convenient,problematic,recommended,priority
usual,proper,incomplete,2,critical,convenient,problematic,priority,priority
usual,proper,incomplete,2,critical,convenient,problematic,not_recom,not_recom
usual,proper,incomplete,2,critical,inconv,nonprob,recommended,priority
usual,proper,incomplete,2,critical,inconv,nonprob,priority,priority
usual,proper,incomplete,2,critical,inconv,nonprob,not_recom,not_recom
